SM,[HC2H3O2]-,M-CH3,FA(16:0)-H,(P-Cho)-CH3-H
SM(d13:0/14:0)+C2H3O2,665.4876,591.4461,227.2016,168.0431
SM(d13:0/14:1)+C2H3O2,663.472,589.4305,225.186,168.0431
SM(d13:0/15:0)+C2H3O2,679.5033,605.4618,241.2173,168.0431
SM(d13:0/15:1)+C2H3O2,677.4876,603.4461,239.2016,168.0431
SM(d13:0/16:0)+C2H3O2,693.5189,619.4774,255.2329,168.0431
SM(d13:0/16:1)+C2H3O2,691.5033,617.4618,253.2173,168.0431
SM(d13:0/17:0)+C2H3O2,707.5346,633.4931,269.2486,168.0431
SM(d13:0/17:1)+C2H3O2,705.5189,631.4774,267.2329,168.0431
SM(d13:0/17:2)+C2H3O2,703.5033,629.4618,265.2173,168.0431
SM(d13:0/18:0)+C2H3O2,721.5502,647.5087,283.2642,168.0431
SM(d13:0/18:1)+C2H3O2,719.5346,645.4931,281.2486,168.0431
SM(d13:0/18:2)+C2H3O2,717.5189,643.4774,279.2329,168.0431
SM(d13:0/18:3)+C2H3O2,715.5033,641.4618,277.2173,168.0431
SM(d13:0/18:4)+C2H3O2,713.4876,639.4461,275.2016,168.0431
SM(d13:0/19:0)+C2H3O2,735.5659,661.5244,297.2799,168.0431
SM(d13:0/20:0)+C2H3O2,749.5815,675.54,311.2955,168.0431
SM(d13:0/20:1)+C2H3O2,747.5659,673.5244,309.2799,168.0431
SM(d13:0/20:2)+C2H3O2,745.5502,671.5087,307.2642,168.0431
SM(d13:0/20:3)+C2H3O2,743.5346,669.4931,305.2486,168.0431
SM(d13:0/20:4)+C2H3O2,741.5189,667.4774,303.2329,168.0431
SM(d13:0/20:5)+C2H3O2,739.5033,665.4618,301.2173,168.0431
SM(d13:0/21:0)+C2H3O2,763.5972,689.5557,325.3112,168.0431
SM(d13:0/22:0)+C2H3O2,777.6128,703.5713,339.3268,168.0431
SM(d13:0/22:1)+C2H3O2,775.5972,701.5557,337.3112,168.0431
SM(d13:0/22:2)+C2H3O2,773.5815,699.54,335.2955,168.0431
SM(d13:0/22:3)+C2H3O2,771.5659,697.5244,333.2799,168.0431
SM(d13:0/22:4)+C2H3O2,769.5502,695.5087,331.2642,168.0431
SM(d13:0/22:5)+C2H3O2,767.5346,693.4931,329.2486,168.0431
SM(d13:0/22:6)+C2H3O2,765.5189,691.4774,327.2329,168.0431
SM(d13:0/23:0)+C2H3O2,791.6285,717.587,353.3425,168.0431
SM(d13:0/24:0)+C2H3O2,805.6441,731.6026,367.3581,168.0431
SM(d13:0/24:1)+C2H3O2,803.6285,729.587,365.3425,168.0431
SM(d13:0/25:0)+C2H3O2,819.6598,745.6183,381.3738,168.0431
SM(d13:0/26:0)+C2H3O2,833.6754,759.6339,395.3894,168.0431
SM(d13:0/8:0)+C2H3O2,581.3937,507.3522,143.1077,168.0431
SM(d14:0/10:0)+C2H3O2,623.4406,549.3991,171.139,168.0431
SM(d14:0/12:0)+C2H3O2,651.4719,577.4304,199.1703,168.0431
SM(d14:0/13:0)+C2H3O2,665.4876,591.4461,213.186,168.0431
SM(d14:0/14:0)+C2H3O2,679.5032,605.4617,227.2016,168.0431
SM(d14:0/14:1)+C2H3O2,677.4876,603.4461,225.186,168.0431
SM(d14:0/15:0)+C2H3O2,693.5189,619.4774,241.2173,168.0431
SM(d14:0/15:1)+C2H3O2,691.5032,617.4617,239.2016,168.0431
SM(d14:0/16:0)+C2H3O2,707.5345,633.493,255.2329,168.0431
SM(d14:0/16:1)+C2H3O2,705.5189,631.4774,253.2173,168.0431
SM(d14:0/17:0)+C2H3O2,721.5502,647.5087,269.2486,168.0431
SM(d14:0/17:1)+C2H3O2,719.5345,645.493,267.2329,168.0431
SM(d14:0/17:2)+C2H3O2,717.5189,643.4774,265.2173,168.0431
SM(d14:0/18:0)+C2H3O2,735.5658,661.5243,283.2642,168.0431
SM(d14:0/18:1)+C2H3O2,733.5502,659.5087,281.2486,168.0431
SM(d14:0/18:2)+C2H3O2,731.5345,657.493,279.2329,168.0431
SM(d14:0/18:3)+C2H3O2,729.5189,655.4774,277.2173,168.0431
SM(d14:0/18:4)+C2H3O2,727.5032,653.4617,275.2016,168.0431
SM(d14:0/19:0)+C2H3O2,749.5815,675.54,297.2799,168.0431
SM(d14:0/20:0)+C2H3O2,763.5971,689.5556,311.2955,168.0431
SM(d14:0/20:1)+C2H3O2,761.5815,687.54,309.2799,168.0431
SM(d14:0/20:2)+C2H3O2,759.5658,685.5243,307.2642,168.0431
SM(d14:0/20:3)+C2H3O2,757.5502,683.5087,305.2486,168.0431
SM(d14:0/20:4)+C2H3O2,755.5345,681.493,303.2329,168.0431
SM(d14:0/20:5)+C2H3O2,753.5189,679.4774,301.2173,168.0431
SM(d14:0/21:0)+C2H3O2,777.6128,703.5713,325.3112,168.0431
SM(d14:0/22:0)+C2H3O2,791.6284,717.5869,339.3268,168.0431
SM(d14:0/22:1)+C2H3O2,789.6128,715.5713,337.3112,168.0431
SM(d14:0/22:2)+C2H3O2,787.5971,713.5556,335.2955,168.0431
SM(d14:0/22:3)+C2H3O2,785.5815,711.54,333.2799,168.0431
SM(d14:0/22:4)+C2H3O2,783.5658,709.5243,331.2642,168.0431
SM(d14:0/22:5)+C2H3O2,781.5502,707.5087,329.2486,168.0431
SM(d14:0/22:6)+C2H3O2,779.5345,705.493,327.2329,168.0431
SM(d14:0/23:0)+C2H3O2,805.6441,731.6026,353.3425,168.0431
SM(d14:0/24:0)+C2H3O2,819.6597,745.6182,367.3581,168.0431
SM(d14:0/24:1)+C2H3O2,817.6441,743.6026,365.3425,168.0431
SM(d14:0/25:0)+C2H3O2,833.6754,759.6339,381.3738,168.0431
SM(d14:0/26:0)+C2H3O2,847.691,773.6495,395.3894,168.0431
SM(d14:0/8:0)+C2H3O2,595.4093,521.3678,143.1077,168.0431
SM(d14:1/10:0)+C2H3O2,621.425,547.3835,171.139,168.0431
SM(d14:1/12:0)+C2H3O2,649.4563,575.4148,199.1703,168.0431
SM(d14:1/13:0)+C2H3O2,663.472,589.4305,213.186,168.0431
SM(d14:1/14:0)+C2H3O2,677.4876,603.4461,227.2016,168.0431
SM(d14:1/14:1)+C2H3O2,675.472,601.4305,225.186,168.0431
SM(d14:1/15:0)+C2H3O2,691.5033,617.4618,241.2173,168.0431
SM(d14:1/15:1)+C2H3O2,689.4876,615.4461,239.2016,168.0431
SM(d14:1/16:0)+C2H3O2,705.5189,631.4774,255.2329,168.0431
SM(d14:1/16:1)+C2H3O2,703.5033,629.4618,253.2173,168.0431
SM(d14:1/17:0)+C2H3O2,719.5346,645.4931,269.2486,168.0431
SM(d14:1/17:1)+C2H3O2,717.5189,643.4774,267.2329,168.0431
SM(d14:1/17:2)+C2H3O2,715.5033,641.4618,265.2173,168.0431
SM(d14:1/18:0)+C2H3O2,733.5502,659.5087,283.2642,168.0431
SM(d14:1/18:1)+C2H3O2,731.5346,657.4931,281.2486,168.0431
SM(d14:1/18:2)+C2H3O2,729.5189,655.4774,279.2329,168.0431
SM(d14:1/18:3)+C2H3O2,727.5033,653.4618,277.2173,168.0431
SM(d14:1/18:4)+C2H3O2,725.4876,651.4461,275.2016,168.0431
SM(d14:1/19:0)+C2H3O2,747.5659,673.5244,297.2799,168.0431
SM(d14:1/20:0)+C2H3O2,761.5815,687.54,311.2955,168.0431
SM(d14:1/20:1)+C2H3O2,759.5659,685.5244,309.2799,168.0431
SM(d14:1/20:2)+C2H3O2,757.5502,683.5087,307.2642,168.0431
SM(d14:1/20:3)+C2H3O2,755.5346,681.4931,305.2486,168.0431
SM(d14:1/20:4)+C2H3O2,753.5189,679.4774,303.2329,168.0431
SM(d14:1/20:5)+C2H3O2,751.5033,677.4618,301.2173,168.0431
SM(d14:1/21:0)+C2H3O2,775.5972,701.5557,325.3112,168.0431
SM(d14:1/22:0)+C2H3O2,789.6128,715.5713,339.3268,168.0431
SM(d14:1/22:1)+C2H3O2,787.5972,713.5557,337.3112,168.0431
SM(d14:1/22:2)+C2H3O2,785.5815,711.54,335.2955,168.0431
SM(d14:1/22:3)+C2H3O2,783.5659,709.5244,333.2799,168.0431
SM(d14:1/22:4)+C2H3O2,781.5502,707.5087,331.2642,168.0431
SM(d14:1/22:5)+C2H3O2,779.5346,705.4931,329.2486,168.0431
SM(d14:1/22:6)+C2H3O2,777.5189,703.4774,327.2329,168.0431
SM(d14:1/23:0)+C2H3O2,803.6285,729.587,353.3425,168.0431
SM(d14:1/24:0)+C2H3O2,817.6441,743.6026,367.3581,168.0431
SM(d14:1/24:1)+C2H3O2,815.6285,741.587,365.3425,168.0431
SM(d14:1/25:0)+C2H3O2,831.6598,757.6183,381.3738,168.0431
SM(d14:1/26:0)+C2H3O2,845.6754,771.6339,395.3894,168.0431
SM(d14:1/8:0)+C2H3O2,593.3937,519.3522,143.1077,168.0431
SM(d15:0/10:0)+C2H3O2,637.4563,563.4148,171.139,168.0431
SM(d15:0/12:0)+C2H3O2,665.4876,591.4461,199.1703,168.0431
SM(d15:0/13:0)+C2H3O2,679.5033,605.4618,213.186,168.0431
SM(d15:0/14:0)+C2H3O2,693.5189,619.4774,227.2016,168.0431
SM(d15:0/14:1)+C2H3O2,691.5033,617.4618,225.186,168.0431
SM(d15:0/15:0)+C2H3O2,707.5346,633.4931,241.2173,168.0431
SM(d15:0/15:1)+C2H3O2,705.5189,631.4774,239.2016,168.0431
SM(d15:0/16:0)+C2H3O2,721.5502,647.5087,255.2329,168.0431
SM(d15:0/16:1)+C2H3O2,719.5346,645.4931,253.2173,168.0431
SM(d15:0/17:0)+C2H3O2,735.5659,661.5244,269.2486,168.0431
SM(d15:0/17:1)+C2H3O2,733.5502,659.5087,267.2329,168.0431
SM(d15:0/17:2)+C2H3O2,731.5346,657.4931,265.2173,168.0431
SM(d15:0/18:0)+C2H3O2,749.5815,675.54,283.2642,168.0431
SM(d15:0/18:1)+C2H3O2,747.5659,673.5244,281.2486,168.0431
SM(d15:0/18:2)+C2H3O2,745.5502,671.5087,279.2329,168.0431
SM(d15:0/18:3)+C2H3O2,743.5346,669.4931,277.2173,168.0431
SM(d15:0/18:4)+C2H3O2,741.5189,667.4774,275.2016,168.0431
